"","text"
"217","vaksin  rcaya rendam kaki  magnesium  rawat jangkitan covid taha rcaya lak siscubaintothescene vaksinlahbeb vaccineforlife"
"218","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"219","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"220","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"221","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"222","covid  rcaya  andemik ta jual vitamin  rawat covid"
"223","covid  rcaya  andemik ta jual vitamin  rawat covid"
"224"," warga  rnah kontak  berkegiatan  rentang  sekan   sri purnomo langsung  swab antigen"
"225"," hmm ta kena mekah  madinah  case covid ae   merukan  tanah haram tu"
"226","  vaksin  kondisi tubuh   terkena covid  rah kondisinya   mencegah"
"227"," halo mas    diambil tuhan  covid mas  rnah membaca  sia  meninggal  terkena wabah    ikhtiar  sembuh halanya serti mati syahid ibunya sti  tenang   mas semoga masnya ikhlas yaa semangatt"
"228","polres kediri laksanakan penegakan hukum proktokol kesehatan covid   wilayah hukum polres kedirilreskediri kediri lriesisi jogojawatimur jatimbermasker "
"229"," tujuh orang  rumah skrng tinggal  orang kakak  adik reman   mae kakak   sorang  hostal sungai buloh   arwah abang ir    meninggal dunia  gi   hostal sungai buloh kerana covid "
"230","satgas penanganan covid kota dek menjajaki ngembangan rumah sakit khusus  hamil  melahirkan  sitif covid "
"231","pandemi covid   melanda dunia    nyelenggaraan london marathon     "
"232","viral unila ngotot turunkan mahasiswa kkn  desadesa dahal  ditegur gugus tugas covid "
"233","  nghuni panti asuhan st fransiskus asisi  pancoran mas dek jawa barat terkonfirmasi sitif covid berdasarkan hasil tes pcr "
"234","kemenkes  vaksin covid membutuhkan  kali suntikan  membentuk antibodi buti sleman  mendatkan suntikan rtama "
"235","kontak fisik  rekan kerja positif covid gisella anastasia langsung isolasi mandiri "
"236","sembuh  covid nirina zubir lakukan    pastikan rumahnya steril "
"237","sembuh  covid nirina zubir lakukan    pastikan rumahnya steril "
"238","kolaborasi mbangunan infrastruktur  kementerian pupr  kemenrekraf bertujuan mendukung oduktivitas sektor riwisata sca pandemi covid dukungan infrastruktur da  kspndpsp selesai rtengahan  gasll infrastruktur"
"239","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"240"," menteri kena duduk kat rhimnan mcm  gambo baca yassin ramai  mcm sklh dlu dlu ta sbb covid   bulatan  jarak sosial haranye ad menteri   pas  "
"241","cegah penyebaran covid anggota polsek laung tuhusosialisasi prokes keda warga "
"242","  fitnah k herman hery tsatya purwanto  jg  melecehkan kredibilitas "
"243","menuduh tan bukti  memerintah  satya purwanto  esidenwoey kumlin bukti serahkan    bener berani "
"244"," gi dat kabar  bokanyokasitif kena covid bokasaat  dirawat  sesak nasperasaan gw   "
"245","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"246","  rjuangannya melawan covid mam menjalankan tugas  tanggung   menko ekonomi  ketua komite nanganan covid  ekonomi nasional kretagama airlangga jalantengah solusikebangsaan "
"247","    ndemi covid  indonesia bangkit  negara maju  "
"248","kolaborasi mbangunan infrastruktur    kementerian pupr  kemenrekraf bertujuan  mendukung oduktivitas sektor riwisata  sca pandemi covid"
"249"," cari vit c musim covid  sarankan gebu glow kerana mam merawat kulit  meningkatkan immune system  bestnya berbentuk serbuk   sugus sedasangat weiiii "
"250"," cari vit c musim covid  sarankan gebu glow kerana mam merawat kulit  meningkatkan immune system  bestnya berbentuk serbuk   sugus sedasangat weiiii "
"251"," yab menteridato n   ngalaman  sakit covid "
"252","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"253","pesakit covid rlu sentiasa sitif  dr zulkifli "
"254"," takut divaksinvaksin covid produksi sinovac aman  halal "
"255","huhu jdi keinget oktober kemarin sebulan nuh berjuang ngelawan virus  sebulan nuh  berdua  adik ngerawat mamah h yg sitif covid cak fisik ta  cak batin  dikucilkan  masyarakat "
"256","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"257","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"258","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"259","camat mandalajati mengikuti rat terbatas virtual satuan tugas covid  forkopimda  video conference terkait evaluasi psbb  kota bandungjumat  januari  "
"260"," mak  ngasih sereobat covid   jam  "
"261"," dah  kes kat indonesia lak kes keluarga  bandar   terima hakikat jenazah family members kena covid ni   dibawa  rumah"
"262","pesakit covid rlu sentiasa sitif  dr zulkifli "
"263","bhnasional sentiasa letakkan sangka  keda allah swt  berfikiran sitif"
"264"," takut divaksinvaksin covid produksi sinovac aman  halal "
"265","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"266","bernafas  ventilator  covid  thread      orangorang yg  mengerti    ventilator ta  mencari kesemtan   tinggal  rumah  socialdistancing   tan masker "
"267"," anggota dpr  pdi perjuangan ditengarai meminjam bendera rusahaan   mendatkan jatah bansos covid  kementerian sosialtangkaadamtangkaadam "
"268","prihatin  covid meningkat smsi metro  masker "
"269","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"270"," covid ni dah setahun  but our gov sami skrg  ambil serious ecaution actions and to develocrystal clear sops asek remind jaga jarak mask si sorg tu dok tiaari la uate smlm bera sekatan bera saman sop arini a esok dh b  je nk ck babi "
"271","buti sleman positif covid  seminggu disuntik vaksin "
"272","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"273","menko airlangga rahasiakan positif covid rocky gerung    biadab"
"274"," mujur  dah resign    memerintah  memuaskan nafsu menyamun harta negara  menteri kasihatan  tu   teruk  nularan covid tengok jer cmne scial task force kononnya diuruskan diselangor   terkawal ta  kritikal"
"275","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"276","client call  nk test covid   kakak  sitive so  contact rat so  suggest la  kt  n so on  tnya la last jum kakak   owh dh sebulan  dh x jum eh hbs tu contact rat tu  owh sy rat dgn kakak sy tu nk test tu "
"277","semoga   ayah   kena covid  "
"278","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"279"," jaha leri brian ri ba swilo swa kahle manmi rivala na maxangu ya covid "
"280","buti  dokter terinfeksi covid  disuntik vaksin "
"281","  blora  covid sdh sam desa om sebulan yg  keluarga temen  kec ngawen  keluarga  orang terr smua"
"282","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"283","  bak turunmasih tergambar wajah aa yg gamang  sedigyang  rah   direcoki informasiinformasi sesat  covid   salah  alasan kena beliau  langsung dibawa  rs  ituisu dicovidkan santer "
"284"," rnah terbayang   virus   masuk  keluarga   tinggal  kamng alagi terbayang  kehilangan orang tercinta  virus inisatu minggu gejala  muncul   ngeh      gejala terr covid"
"285","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"286"," menangkain nting  negaranegara serti selandia  taiwan  vietnam   kehidunnya   normal    covid  negaranegara   meningkat ta    tertangani   menga "
"287"," tujuh orang  rumah skrng tinggal  orang kakak  adik reman   mae kakak   sorang  hostal sungai buloh   arwah abang ir    meninggal dunia  gi   hostal sungai buloh kerana covid "
"288","karanganyar  uya merintah  ncegahan covid anggota koramil jumantono jajaran kodim karanganyar serda nurhaeri  himbauan    masker  sar kecamatan jumantono kabuten karanganyar jumat  "
"289","karanganyar  uya merintah  ncegahan covid anggota koramil jumantono jajaran kodim karanganyar serda nurhaeri  himbauan    masker  sar kecamatan jumantono kabuten karanganyar jumat  "
"290","karanganyar  uya merintah  ncegahan covid anggota koramil jumantono jajaran kodim karanganyar serda nurhaeri  himbauan    masker  sar kecamatan jumantono kabuten karanganyar jumat  "
"291","karanganyar  uya merintah  ncegahan covid anggota koramil jumantono jajaran kodim karanganyar serda nurhaeri  himbauan    masker  sar kecamatan jumantono kabuten karanganyar jumat  "
"292","pesakit covid rlu sentiasa sitif  dr zulkifli "
"293","buti  dokter terinfeksi covid  disuntik vaksin"
"294","perkembangan persebaran covid jumat  januari "
"295","covid  rcaya  andemik ta jual vitamin  rawat covid"
"296"," dlm th koms ceo forum menteri suharso monoarfa menyamikan strategi mulihan ekonomi  indonesia da     dg  nanganan covid yg   vaksinasi testing  disiin  m  laksanaan reformasi sistem kesehatan "
"297","covid   aibjd kena  malu  takut   orang "
"298"," nggak  ngerasa flu tenggorokan gatel  sakit ta langusung rno kena covid  dirika  negatif  kena flu    ndemi gini  emang musti  aware ta hatihati  anxiety "
"299","puskesmas sudimara pinang  rit puskesmas larangan   temt periksa gejala covid "
"300","covid  rcaya  andemik ta jual vitamin  rawat covid"
"301","tautan cek fakta dat diakses  "
"302","  rjuangannya melawan covid mam menjalankan tugas  tanggung   menko ekonomi  ketua komite nanganan covid  ekonomi nasional kretagama airlangga jalantengah solusikebangsaan "
"303"," warga  rnah kontak  berkegiatan  rentang  sekan   sri purnomo langsung  swab antigen"
"304"," takut divaksinvaksin covid produksi sinovac aman  halal "
"305","takleh brain member masuk kuarantin  kluster covid  tiber  kluster  masuk member  dah habis kuarantin kena extend  alasan  takut  contact   sitive dah kau letak  sitivehigh risk    negative kena do"
"306","nahhh ayo  sami kecurigaan dr tirta  jd kebenaran yg tdk berani diungkanggaran segitu besarnyatmasyarakat bnyk terr  uang gunanya  aan"
"307","  didiagnosa dgn covid tolong isi  langkah ni kat mysejahterapihak pusat penilaian covid cac  menghubungi  "
"308","semalam kes covid   melonjak  kesta ling steady orang giladari  covid sami    cluster gila "
"309","hati   rindu   normal tiada sop tiada covid"
"310","bhnasional penggubalan ordinan covid  redakan kebimbangan terhadaunjuran ningkatan   kes sehari"
"311","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"312","open promote  ogramfolback sejutapromotor best regard indonesia bebas covidfollow  member tsp  like reindonesia bebas covid ogramfolback"
"313","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"314"," takut divaksinvaksin covid produksi sinovac aman  halal "
"315","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"316","haran   menjalani kehidun      pasalnya da   dianggasebagai  kelabu  munculnya ndemi covid"
"317","longsor  bencana non alam serti ndemic covid    sedanga  hada    uya antisisimitigasi bencana merukan     dinihilkan"
"318","terbukti  menghada bencana non alam ndemi covid unit kewilayahan desakelurahan dianggamam  rnjangan tangan merintah  menstabilkan "
"319","kodim bangli kamnyekan t am m  program vaksinasi covid tingkatkan partisisi masyarakat koremwirasatya kodamixudayana tniad sntni nremwirasatya ndamixudayana snad humasbangli infobali prokes indonesiasehat bersamalawancoronamt "
"320","diteln kakak gigi mengabari  salah  om  wafat gagal nafas  terkonfirmasi covid   bulik istrinya  selesai dirawat  rs krn covidsedihnya   please tuhi okes temanteman "
"321","  diskon    ad lari kemana dana covid  t  lari kemana kek sulaaja hasil   duit nya  habis ajaibdiskriminatif anies pangkas gaji pns  persen tgupp   persen"
"322","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"323","cegah penyebaran covidsatgas aman nusa ii polsek pontianak utara  himbauan protokol kesehatan pencegahan covidbertemt  pasar puring siantan  pontianakbersamakitacegahcovid "
"324","cegah penyebaran covidsatgas aman nusa ii polsek pontianak utara  himbauan protokol kesehatan pencegahan covidbertemt  pasar puring siantan  pontianakbersamakitacegahcovid "
"325","cegah penyebaran covidsatgas aman nusa ii polsek pontianak utara  himbauan protokol kesehatan pencegahan covidbertemt  pasar puring siantan  pontianakbersamakitacegahcovid "
"326","cegah penyebaran covidsatgas aman nusa ii polsek pontianak utara  himbauan protokol kesehatan pencegahan covidbertemt  pasar puring siantan  pontianakbersamakitacegahcovid "
"327","cegah penyebaran covidsatgas aman nusa ii polsek pontianak utara  himbauan protokol kesehatan pencegahan covidbertemt  pasar puring siantan  pontianakbersamakitacegahcovid "
"328","cegah penyebaran covidsatgas aman nusa ii polsek pontianak utara  himbauan protokol kesehatan pencegahan covidbertemt  pasar puring siantan  pontianakbersamakitacegahcovid "
"329","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"330","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"331","vaksin  hadirnya peres ran pe uya serius pemerintah memberangus covid  terorisme  masyarakatvaksin selektif tet gunakandangkanhanifalatas"
"332","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"333","kemendikbud siaan skema vaksinasi covid  guru nasional "
"334","airlangga diotes publik   jujur dpr   kewajiban pasien publikasi kena covid"
"335","dana  birokrasi   ganjalan pemda  ruang covid "
"336","universitas indonesia  mengembangkan platform vaksin covid "
"337","vaksinasi kota magelang februari "
"338","pamer infusan  tangan chef juna dikonfirmasi possitif covid "
"339","datuk dr hasan mohamed ali  disahkan sitif covid "
"340","penemuan baharu saintis  laran  menggariskan kesan membimbangkan keda sangan  rnah dijangkiti covid   mandul  susah mendatkan anak "
"341","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"342","data "
"343","covid ujian rtkag rlu dijalankan seminggu seles muncul gejala "
"344"," berdasarkan  satya purwanto  berani   sami melecehkan kredibilitas kabikitas  ofesionalisme "
"345","  lumhkan kegiatan usaha  bisnis ummat  alasan covid  kegiatan sholat jamaah  masjid santren majelis taklim sekolah dilumhkan  alasan covid  demo menyamikan asrasi  ndat  dilarang  alasan covid  "
"346","kemarin   melarkan rekor kematian covid keemt kali    terakhirjawa  menyumbang  tertinggi   kali cah rekor   kumulatif jawa timur  tertinggikarena  nyawa berharga   dikendalikan  "
"347"," pahlawan kekinian dgn donor plasma konvalesen jiwa orang terselamatkan bangsa am negara indonesia bebas dr belenggu covid mari kawan yg  sembuh dr coviddatanglah  pmi utk donor asma jabodetabek  merdeka  matiindonesiasehatbebascovid"
"348"," takut divaksinvaksin covid produksi sinovac aman  halal "
"349"," masak   sih rumah  dnol hasil oke oce et formula e ghoib kali waring bambu mesum tugu batu tawuran tgu sak ngendalian covid yg diserahkan kesat   "
"350","dprd alokasikan r trilun njaman  sat r triliun hrsnya dki udah bs bangun rs darurat corona  antisisi lonjakangolkar  bpk  kpk audit pemov dki dana covid triliunan mesti dirtanggungjawabkan "
"351","media mainstream rajin memberitakan damk covid teta       rs nuh  coba  beritakan damk covid dr sudut ndang    brik yg bangkrut  phk umkm yg bangkrut pengangguran   sulit cari kerjaberani"
"352","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"353"," bunyinya   sime ta  orang   berjauhan  anak kecilnya disebabkan covid  anak   kehilangan ayahnya kerana covid  orang  meninggal kerana covid  dat diuruskan   orang  bertaruh hidudengan"
"354"," lengah  tetaan otokol kesehatan mari  sukseskan vaksinasi covid  elshintaedisisiang "
"355","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"356","klu  diviralkan tinggal pencet tombol  rtlmoeldoko imbau tokoh blik jujur  terr covidpemerintah mendorong tokoh blik  kela lembaga   lasan masyarakat  terbuka  terr virus sars cov cc "
"357","pesakit covid rlu sentiasa sitif  dr zulkifli "
"358","akah  rencana  lenyaan  ribu orang r   covid   kasih rsembahan doa a  suya rencana  dibatalkanmohon saran ustadz "
"359","tim satgas aman nusa ii kabuten cilacamelaksanakan himbauan  woroworo  antisisi nyebaran covid  kabuten cilaca lrescilacaldajateng "
"360","tim satgas aman nusa ii kabuten cilacamelaksanakan himbauan  woroworo  antisisi nyebaran covid  kabuten cilaca lrescilacaldajateng "
"361","tim satgas aman nusa ii kabuten cilacamelaksanakan himbauan  woroworo  antisisi nyebaran covid  kabuten cilaca lrescilacaldajateng "
"362","tim satgas aman nusa ii kabuten cilacamelaksanakan himbauan  woroworo  antisisi nyebaran covid  kabuten cilaca lrescilacaldajateng "
"363","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"364","buti  dokter terinfeksi covid  disuntik vaksin  tangkaadam"
"365"," hoax ttg chidi dlm vaksin covid vaksin  cairan sdg chiitu benda elektronik yg mahal  an  bkn benda cair yg  mengalir  vaksin  jarum suntik hoax tdk masuk akal   dircaya"
"366"," penghuni panti asuhan st fransiskus asisi dek positif covid lengkaetberitanya beritaterkini beritaterkini newsuate  "
"367","karimun bermaskerpolsek meral polres karimun melaksanakan patroli am himbauan perbuno     meningkatkan disiin masyarakat terhadaprotokol kesehatan am membagikan masker  rangka ncegahan penyebaran covid  adaasi kebiasaan  "
"368","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"369","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"370"," yg   haraan    berulangkalau pemberlakuan pembatasan kegiatan masyarakat ppkm tdk konsisten kondisi   memburuktembusjutakasus"
"371","komisi ix teruskan usul vaksinasi covid wartawan  garis den  kementerian kesehatan "
"372","kamis  januari  wakalsek delanggu iu abdillah sh mh am  agt  tugas gugus covid  ds sabrang laks giat o yustisi  sosialisasi  pelaksanaan psbb  ppkm  den gereja santo johanes rasul ds sabrang kec delanggu "
"373","dimanan  mari   lawan covid    menjaga kesehatan   keluarga  lu  kai masker  cuci tangan  jaga jarakhumaspolresklatendisiinotokolkesehatanklatenbermasker bersamatangkalcorona "
"374","sia   dimana  mari mendisiinkan   mematuhi protokol kesehatan  mencegah nularan covid  humaspolresklaten bersamatangkalcoronaklatenbermaskerdisiinotokolkesehatan "
"375","sia   dimana  mari mendisiinkan   mematuhi protokol kesehatan  mencegah nularan covid  humaspolresklaten bersamatangkalcoronaklatenbermaskerdisiinotokolkesehatan "
"376","  ucaan terima kasih keda  hak  masyarakat pemalang walaun sisi  ndemi covid rtisisi masyarakat pemalang cukutinggi dibanding laksanaan pilkada   ningkatan     cukuluar  "
"377","  lumhkan kegiatan usaha  bisnis ummat  alasan covid  kegiatan sholat jamaah  masjid santren majelis taklim sekolah dilumhkan  alasan covid  demo menyamikan asrasi  ndat  dilarang  alasan covid  "
"378"," nggak  ngerasa flu tenggorokan gatel  sakit ta langusung rno kena covid  dirika  negatif  kena flu    ndemi gini  emang musti  aware ta hatihati  anxiety "
"379"," pesakit covid rlu sentiasa sitif covid"
"380","edisi desember terbit   isu  efek sosial rubahan iklim covid rsktif transformatif  alternatif migrasi  rawatan sosiologi blik sosiologi sri langka dll "
"381","dilarkan hostal  brazil kehabisan bekalan oksigen kerana sakit covid    ramai keluarga sakit  terksa membeli  bekalan oksigen  venezuelaperkara   menyedihkan "
"382","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"383"," takut divaksinvaksin covid produksi sinovac aman  halal "
"384","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"385","client call  nk test covid   kakak  sitive so  contact rat so  suggest la  kt  n so on  tnya la last jum kakak   owh dh sebulan  dh x jum eh hbs tu contact rat tu  owh sy rat dgn kakak sy tu nk test tu "
"386","pesakit covid rlu sentiasa sitif  dr zulkifli "
"387","pesakit covid rlu sentiasa sitif  dr zulkifli "
"388"," jurnal   uk  nyatakan  tindakbalas  immun antitumor terhadavirus covidmeans  bunuh covid tindakbalas ni  hasilkan askar  haskan sel kansermenarik  follow dr ni  tiktok "
"389"," takut divaksinvaksin covid produksi sinovac aman  halal "
"390","melaka dah ovide  dewan utk sakit covid quarantine "
"391","sahabatsahabat ansorbanser kab magetan  ngalaberkah malamjumat  berkhidmah  mbagian logistik  warga   isolasi mandiri akibat terr covidansorbelanegeri "
"392","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"393"," hasil kerjakerjakerja    jd presiden kerjanya ngain aja  sam ekonomi berantakan  covid  tertangani ngutang   lunasi  ditambah  "
"394","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"395","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"396","covid  rcaya  andemik ta jual vitamin  rawat covid"
"397","dokter  kai toilet    keluarga sitif covid"
"398","hoaks setar vaksin covid bermunculan a motifnya "
"399","hofully   ni       hadavirus covid  ni"
"400","london kajian  kar mendati virus covid berisiko menyebabkan kemandulan keda lelaki "
"401"," takut divaksinvaksin covid produksi sinovac aman  halal "
"402","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"403","udah   temen bilang tetangganya meninggal negatif covid ta dicovidkan rs  bayar  juta  bawa lang jenazahnya    rcaya covid  konsrasi  ladang bisnis  kaya gini mumet gusti"
"404","pengakuan mengejutkan menkes ri salah sasaran testing covid "
"405","takleh brain member masuk kuarantin  kluster covid  tiber  kluster  masuk member  dah habis kuarantin kena extend  alasan  takut  contact   sitive dah kau letak  sitivehigh risk    negative kena do"
"406"," hdkalian  tenangstostress mikirin covidorg sakit krn turun temurunsakit krn rgantian musim  d bilang covidklu  nter jgn rcy covid rcy ae sm gusti allahta bnyk yg matizona hitam bhullseetits all just a game"
"407","  kemarin  ibubilangsy curiga   yg bukn covid d bilang covid  d suntik racun lha setiaorg sakit  klu sdh d rs sll d bilang covidyg bnyk bukn covidnya bisnisnyasll gw bilang gitubisnis  "
"408","gelorakan olahraga   pandemi covid  "
"409","  rjuangannya melawan covid menjalankan tugas  tanggung   menko ekonomi  ketua komite nanganan covid  ekonomi nasional kretagama airlangga jalantengah solusikebangsaan "
"410","please butuh golongan darah o rnah sitif covid    dinyatakan sembuh  domisili surabaya cp bagas  "
"411","menkes testing covid lami who ta   gunanya "
"412","so  yah la letak oion contactless delivery i sitive covid haritu n grab driver tu  marah  i   letak te gar rumah  "
"413"," takut divaksinvaksin covid produksi sinovac aman  halal "
"414","elon musk  donasi r triliun  teknologi nangkekarbon terbaik ta  aja resn  kena   vaksin covid aja sinting "
"415","  dengar kabar bagus ttg skesmas puskesmas berhasil cariin kamar utk rujukan rawat sien covid hl asuransi uda cari  ga d mgkn   yg nemu yg kosong lar  skesmas utk pcr akibat tracing sien sitif oses lancar  ga berbelit"
"416","   disuntik vaksin buti sleman umumkan positif covid"
"417","hasan ali sitif covidonenews covid hasanali "
"418","  tetaberjuag  rakyatnya  indonesia   ndemi covid  les tangan   taklukkan  covid  anggaran covid  t "
"419","alhamdulillah  bgs udah ham titiknya  dimana  pejabat karantina kesehatan mari batasi aktivitas k suya  bergian  rlu tes pcr  emang  bergerak kemanamana "
"420","disiin   daerah suku baduy nol  corona   ndemi covidsalut deh    dianggaoleh  masyarakat tertinggal   informasi am technology   tuh dr masyarakat kotavaksin selektif tet gunakandangkanhanifalatas "
"421","hukum tajam kebawah  keda pengemban dakwah polda metro jaya  acara sta  dihadiri  sohor   raffi ahmad  komisaris utama pt pertamina persero basuki tjahja purnama alias ahok  melanggar otokol kesehatan ncegahan covidp "
"422","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"423","faktanya vaksin covid sinovac dikembangkan  metode inactivated virus    vaksin  dimatikan   mengandung virus hiduatau  dilemahkan"
"424","halo sobatkom  bebera media sosial semt muncul narasi    vaksin covid sinovac mengandung virus mati   hidulagi "
"425"," berdoa    puasa  raya  ni tan covid amin ya allah"
"426","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"427"," istrinya rugi kasian udh lg berjuang sakit covid suami  jajan"
"428","sial la  tidur mim sitif covid "
"429","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"430","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"431","dah jum nawar covid sahih  news ni "
"432","  ga gitu kaga  yg tau le sienku covid a engga "
"433","stress gatau  gimana ngen bgt jalan jalan ta covid naiknya ga aturan  rumah aja kekiran  gusti ringi dalan"
"434","circle rtemananku stressful nyari rs rujukan ibunya terr covid a aja deh skr gue jualin yg nting bs nambah nghasilan  tau  kulkas  jt suami beliin udah   kusimn doang  gudang"
"435","  keda ahli litik  sitive  sitive cough covid cough"
"436","launching vaksinasi covid  kabuten jayarasentanibuti kabuten jayara  forkomda tni  polri melaunching ogram vaksinasi covid  rumah sakit yowari distrik sentani kabuten jayara kamis  "
"437","charlotte peeters menceritakan   suami arya andika widyadana  memiliki usaha  bidang riwisata      ndemi covid   mencari masukan     survive "
"438","   disuntik vaksin buti sleman umumkan positif covid"
"439","moeldoko khusus menteri  terr covid dirbolehkan  umumkan  publik  democrazy newssia  berani berkutik  "
"440","keluhan mahasiswa universitas lamng  kkn tatamukakondisi  lamng  nderita covid    unila   dorong mahasiswa kkn  desadesa gugus tugas covid udah tegur ta unila kaya  dengerbahaya  mahasiswa am masyarakat lokasi kkn "
"441","tenaga kesehatan pemerintah kabuten lebak       covid  menginfeksi masyarakat adat baduy  petugas medis puskesmas cisimeut iton rustandi masyarakat baduy  mematuhi otokol kesehatan   m "
"442"," tetua adat setemt mengimbau masyarakat baduy    daerah serti jakarta tangerang  bogor  mencegah  nyebaran covid "
"443"," takut divaksinvaksin covid produksi sinovac aman  halal "
"444","    covid ga  vaksin  a   ga  vaksin covid taha  bingung  tuh"
"445","klu  diviralkan tinggal pencet tombol  rtlmoeldoko imbau tokoh blik jujur  terr covidpemerintah mendorong tokoh blik  kela lembaga   lasan masyarakat  terbuka  terr virus sars cov cc "
"446","pesakit covid rlu sentiasa sitif  dr zulkifli "
"447","buti sleman  positif  divaksin covid  penjelasan kemenkes ri timesindonesia ketahananinformasi hariibu"
"448","sehari emt orang meninggal akibat covid  gunungkidul timesindonesia ketahananinformasi hariibu"
