"","text"
"51","rest      vaksin terbaik  mengawal wabak covid     sendirijaga   keluarga patuhi sop  amalkan norma baharu  kehidun sehariansumber "
"52","rest        utama kena covid merebak  cet  lakukan  kesalahan inipkpkitateguhkitamenangkomunikasikitapsacovidrtm "
"53"," berdoa    puasa  raya  ni tan covid amin ya allah"
"54","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"55","salah  uya     ndemi covid   vaksinasi    ncegahan nyebaran covid  komitmen merintah menyediakan vaksin yg aman bermutu  efektifvaksin selektif tet gunakandangkanhanifalatas "
"56","kebohongan yg  rizieq sakit ta mengaku sehat kena covid mengaku istirahat  membahayakan orang   menghalangi nanganan ndemi vaksin selektif tet gunakandangkanhanifalatas "
"57","world health organization who   memringatkan teori herd immunitysangat berbahaya dijadikan strategi  mengatasi ndemi covid vaksin selektif tet gunakandangkanhanifalatas  "
"58","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"59","vaksin selektif tet gunakandangkanhanifalatasdirtidum bareskrim polri brigjen andi rian djajadi  ran  hanif  tertutukeda satgas covid  hasil uji swab rs"
"60","  disuntikkan vaksin covid rtama   menunggu     mendatkan vaksin keduanyavaksin selektif tet gunakandangkanhanifalatas "
"61","vaksin covid dirlukan  mencai herd immunity vaksin  memenuhi rsyaratan keamanan khasiat  mutu pelaksanaan uji klinis  bandung  menentukan keamanan  manfaat vaksinvaksin selektif tet gunakandangkanhanifalatas"
"62","disiin   daerah suku baduy nol  corona   ndemi covidsalut deh    dianggaoleh  masyarakat tertinggal   informasi am technology   tuh dr masyarakat kotavaksin selektif tet gunakandangkanhanifalatas "
"63","rs ummi diduga menghalangi  menghambat satgas  nanganan  nanggulangan wabah nyakit menular covid    swab tes terhadasalah  siennya  diduga terr covidvaksin selektif tet gunakandangkanhanifalatas"
"64","  berkaitan  ndemi covid  setiahari  meningkat   indonesiavaksin selektif tet gunakandangkanhanifalatas  "
"65","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"66"," takut divaksinvaksin covid produksi sinovac aman  halal "
"67","menkes akui pemerintah salah sasaran  testing covid "
"68","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"69"," v murah r rendah roe    kenaikan ofit  taun  taun  kuartal  kuartalcovid  diabaikan riodenya  anggakalau  normal  ga gesit ga gede ga cet untung kaya bris  tech ta   aman  diskon hahaha"
"70","  kesemtan  nu peduli covid moga  manfaat  "
"71","eks main persija jakarta leo satra  kritis  rumah sakit kabarnya  sitif covid   diidaya     "
"72"," hasil kerjakerjakerja    jd presiden kerjanya ngain aja  sam ekonomi berantakan  covid  tertangani ngutang   lunasi  ditambah  "
"73"," takut divaksinvaksin covid produksi sinovac aman  halal "
"74","stlh   langan jateng berinisiatif lakukn rcetan   kasitas skesmas hny  hl  ditingkatkan sayang  tdk  rcet yg  kasitas rumah sakit  jg akn  oimalkan gunanya mimn turun langsung"
"75","mantanih gubernur jatengbeda anies beda la ganjar pranowo  memilih lemr handuk gubernur jateng memilih sang badan  nanganan covid  jawa  "
"76","buti sleman sitif covid  divaksin pakar menyebut dosis     sami  dinyatakan negatif corona "
"77","koramil karanganyartracking sosialisasi  edukasi cegah pandemi covid "
"78","airlangga diotes publik   jujur dpr   kewajiban pasien publikasi kena covid"
"79","   asyik citer sal entrernuer je  kena kus sal incubation riod covid  laaaaa"
"80"," hasil kerjakerjakerja    jd presiden kerjanya ngain aja  sam ekonomi berantakan  covid  tertangani ngutang   lunasi  ditambah  "
"81","buti sleman positif covid  seminggu disuntik vaksin "
"82","tsian adk tila ehh babah asek tnye  nk shoing brg  dlu  tila kemain   alaa mummy risau la covid nie mood n kelaut "
"83","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"84","program imunisasi covid kebangsaan  dibangunkan kkm   mberian vaksin berjalan lancar mengikut jadual  meneti sasaran pemberian vaksin dijadual  mac    fasa barisan hadan kumlan rentan   awam  thn   "
"85","sentiasa  transaksi tan tunai  mengurangkan jangkitan covid  sekeliling kitaingat virus covid   manamanacovidkitateguhkitamenang komunikasikitajabatanpenerangan "
"86","covid  ketua pengarah kesihatan   mendatkan ketusan  tet ujian rtkag rlu   temh   tujuh  rtama  wujudnya gejala covid "
"87"," wahhh    enters je  covid sabar kkkk nnt honeymoon after mco lifted "
"88","kegiatan satgas covid lsekwas dwikora  himbauan  swalayan garuda mitra jalan h rais a rahman keda karyawan  ra ngunjung    masker "
"89","satgas covid lsekwas dwikora  himbauan  swalayan mitra mart jalan sultan syahrir abdurrahman keda karyawan  ra ngunjung    masker "
"90","info covid kabuten situbondo "
"91","pemerintah   a konsekuensinya  ketua nanganan covid  indonesia menutunutu statusnya   sitif covid     memrtajam stigma  covid  masyarakat   memrsulit nanganan wabah "
"92"," rsen bumn terdamk covid   kondisinya   menbumn semoga  lalai terhadatugas utamanya menyehatkan  bumn   urus vaksin fokus  ptpn  bumn karya  hutangnya  bumn pangan yg  berdaya  skandal jiwasraya  asabri "
"93","media mainstream rajin memberitakan damk covid teta       rs nuh  coba  beritakan damk covid dr sudut ndang    brik yg bangkrut  phk umkm yg bangkrut pengangguran   sulit cari kerjaberani"
"94","pengusaha  artis langgar aturan covid      bebashrs  fpi    alasan   utk  tangkadan  bubarkanyaudah  ya semau elu aja urus bangsa inintr   masanya elu kualat"
